,X,Y
34,"[0.5732759237289429, -0.5953865647315979, -0.23024588823318481, -0.08098304271697998, -0.568976640701294, -0.11917644739151001, -0.10027050971984863, 1.0, -1.0, 0.21694813668727875, -0.08261515945196152, -0.21750007569789886, 0.07861681282520294, -0.05122729018330574, 0.24438944458961487, -0.2609463930130005, 0.0005043212440796196, -0.00021770433522760868, -0.15033701062202454, -0.0987224206328392, -0.1281745433807373, 4.510495033027695e-10, -1.2820868811047603e-08]","[0.823363721370697, -0.40913125872612, 0.6387964487075806, -0.33660802245140076, -0.14170105755329132, 1.0, 1.0, 1.0, -0.19505730271339417]"
35,"[0.5795007944107056, -0.6003057956695557, -0.23650407791137695, -0.07781881093978882, -0.570660412311554, -0.10791051387786865, -0.1077771782875061, 1.0, -1.0, 0.21563398838043213, -0.10330980271100998, -0.21747282147407532, 0.05652758106589317, -0.057735271751880646, 0.25362884998321533, -0.2607439458370209, 0.0005104652373120189, -0.00020989147014915943, -0.14066392183303833, -0.09736315160989761, -0.12423187494277954, 4.6001863429623313e-10, -1.2820868811047603e-08]","[0.4910270571708679, -0.4672068655490875, 0.6900018453598022, -0.40098583698272705, -0.1264650672674179, 1.0, 1.0, 1.0, 0.027719885110855103]"
36,"[0.5857042074203491, -0.6062955856323242, -0.24275732040405273, -0.07597774267196655, -0.5725122690200806, -0.09637576341629028, -0.11528438329696655, 1.0, -0.991323709487915, 0.21442726254463196, -0.1267135739326477, -0.2174476683139801, 0.03094167448580265, -0.06302003562450409, 0.2610001266002655, -0.26100003719329834, 0.0005207585636526346, 0.0013801491586491466, -0.1309269666671753, -0.09571091085672379, -0.11949515342712402, 4.689885146902384e-10, -1.2820804862201385e-08]","[0.1433248519897461, -0.5280172228813171, 0.6265445351600647, -0.46515408158302307, -0.14710278809070587, 0.9547197222709656, 1.0, 1.0, 0.29250863194465637]"
37,"[0.5918924808502197, -0.6134852170944214, -0.24898898601531982, -0.07563650608062744, -0.5745672583580017, -0.08482539653778076, -0.1227913498878479, 1.0, -0.9083811640739441, 0.213604137301445, -0.15286080539226532, -0.2166098803281784, 0.002338661579415202, -0.06940223276615143, 0.26099762320518494, -0.2610001266002655, 0.0005650678067468107, 0.019787948578596115, -0.12113812565803528, -0.09372648596763611, -0.11380159854888916, 4.779582840619412e-10, -1.282078709863299e-08]","[-0.26771602034568787, -0.637090265750885, 0.04040679335594177, -0.5016701221466064, -0.30496904253959656, 0.3907608687877655, 1.0, 1.0, 0.22093787789344788]"
38,"[0.5981011390686035, -0.6220427751541138, -0.25518858432769775, -0.07693511247634888, -0.5770650506019592, -0.07331043481826782, -0.1302984356880188, 1.0, -0.8248557448387146, 0.2150559425354004, -0.18335111439228058, -0.2148912250995636, -0.02825644612312317, -0.08474086970090866, 0.2609783113002777, -0.2610006034374237, 0.0006085032364353538, 0.019782543182373047, -0.11130431294441223, -0.09139057993888855, -0.10709762573242188, 4.869282754782489e-10, -1.2820815520342421e-08]","[-0.601596474647522, -0.6518685817718506, -0.024001870304346085, -0.6248694658279419, -0.3798505961894989, 0.18484139442443848, 1.0, 1.0, 0.47444775700569153]"
39,"[0.6042851209640503, -0.6320890188217163, -0.26136815547943115, -0.08008044958114624, -0.5801368951797485, -0.06178241968154907, -0.13780534267425537, 1.0, -0.739069938659668, 0.2136908769607544, -0.215656116604805, -0.21398626267910004, -0.0636274665594101, -0.10425116866827011, 0.2609040439128876, -0.26100271940231323, 0.0006702215177938342, 0.019787393510341644, -0.1014489233493805, -0.08864875882863998, -0.0992879867553711, 4.958973232049857e-10, -1.2820867034690764e-08]","[-0.9343453049659729, -0.6675124168395996, -0.01888684183359146, -0.6941991448402405, -0.4376703202724457, -0.055521827191114426, 1.0, 1.0, 0.6669028997421265]"
40,"[0.6102855205535889, -0.6424656510353088, -0.26760345697402954, -0.0844876766204834, -0.5838472843170166, -0.05094963312149048, -0.1448359489440918, 1.0, -0.6498047113418579, 0.202004075050354, -0.21775487065315247, -0.2174825519323349, -0.09214072674512863, -0.12627089023590088, 0.2448800653219223, -0.23983703553676605, 0.0006933653494343162, 0.019801780581474304, -0.0917118489742279, -0.08536889404058456, -0.09059298038482666, 5.048672591101422e-10, -1.2820858152906567e-08]","[-1.0, -0.7959105968475342, 0.21177084743976593, -0.6666357517242432, -0.34127262234687805, -0.2702338397502899, 1.0, 1.0, 0.5829029083251953]"
41,"[0.616309642791748, -0.652889609336853, -0.27383482456207275, -0.09017473459243774, -0.5880265235900879, -0.04145413637161255, -0.1498258113861084, 1.0, -0.557510256767273, 0.2045324146747589, -0.21776457130908966, -0.21747370064258575, -0.11809822171926498, -0.14148680865764618, 0.20857937633991241, -0.16997477412223816, 0.0006344053545035422, 0.019858479499816895, -0.08222818374633789, -0.08113504201173782, -0.08088499307632446, 5.138368064372401e-10, -1.2820875916474961e-08]","[-1.0, -0.9714827537536621, 0.4153579771518707, -0.47844699025154114, -0.30399784445762634, -0.4375343322753906, 1.0, 1.0, 0.5061784982681274]"
42,"[0.6223658323287964, -0.6633263230323792, -0.28007423877716064, -0.09726452827453613, -0.5925514698028564, -0.03280651569366455, -0.15285485982894897, 1.0, -0.4628251791000366, 0.21315434575080872, -0.21751748025417328, -0.2163121998310089, -0.13726501166820526, -0.15382814407348633, 0.17723166942596436, -0.10305684059858322, 0.00039096694672480226, 0.019902486354112625, -0.0730791687965393, -0.07563687115907669, -0.0702735185623169, 5.228065758089429e-10, -1.2820794204060348e-08]","[-1.0, -1.0, 0.6497374773025513, -0.3546152412891388, -0.365044504404068, -0.5610306262969971, 1.0, 1.0, 0.3577990233898163]"
43,"[0.6282345056533813, -0.6737691760063171, -0.28633856773376465, -0.10583138465881348, -0.5974865555763245, -0.023986220359802246, -0.15400367975234985, 1.0, -0.36682039499282837, 0.20636089146137238, -0.21751916408538818, -0.21640729904174805, -0.16064909100532532, -0.16955114901065826, 0.1806546151638031, -0.0389421284198761, 0.0004352978430688381, 0.019925419241189957, -0.06444314122200012, -0.06896822899580002, -0.05908524990081787, 5.317760121137383e-10, -1.2820826178483458e-08]","[-1.0, -1.0, 0.8738598823547363, -0.35650432109832764, -0.415174275636673, -0.795213520526886, 1.0, 1.0, 0.04034724831581116]"
