,X,Y
32,"[0.0, 0.0, -0.27138984203338623, -0.22539323568344116, -0.7188928723335266, -0.14692312479019165, -0.025424957275390625, 1.0, 0.06748628616333008, 0.21832425892353058, 0.0, -0.20460842549800873, 0.11402379721403122, -0.2210269421339035, 0.0, -0.2588655948638916, 0.001107043819501996, 0.0, -0.1261388063430786, 0.009595261886715889, -0.08400487899780273, 1.2084173661719433e-09, -1.2895138290502928e-08]","[-0.2442803680896759, -1.0, -0.40717777609825134, 0.25440090894699097, -0.11272973567247391, -0.2010480910539627, 0.6651508808135986, 1.0, 1.0]"
33,"[0.0, 0.0, -0.2774377465248108, -0.21905022859573364, -0.7253336310386658, -0.13537836074829102, -0.03293204307556152, 1.0, 0.1612921953201294, 0.21835720539093018, 0.0, -0.20159819722175598, 0.1201409250497818, -0.21874313056468964, 0.0, -0.258414626121521, 0.0020366888493299484, 0.0, -0.11917591094970703, 0.016162889078259468, -0.08395332098007202, 1.2174381502916276e-09, -1.289518891667285e-08]","[-0.3223712742328644, -1.0, -0.3738172650337219, 0.1525166630744934, -0.03197256475687027, -0.37686291337013245, 0.706677258014679, 1.0, 0.9416037201881409]"
34,"[0.0, 0.0, -0.28342777490615845, -0.21239352226257324, -0.7315937280654907, -0.12383139133453369, -0.04043900966644287, 1.0, 0.2535289525985718, 0.21832804381847382, 0.0, -0.19841861724853516, 0.1240428015589714, -0.2119615525007248, 0.0, -0.2581005096435547, 0.0019296546233817935, 0.0, -0.1118478775024414, 0.020637379959225655, -0.08330094814300537, 1.2264588233890095e-09, -1.2895134737789249e-08]","[-0.39947038888931274, -1.0, -0.3318406343460083, 0.07041198015213013, 0.012034706771373749, -0.5015005469322205, 0.7430131435394287, 1.0, 0.7584882974624634]"
35,"[0.0, 0.0, -0.2893627882003784, -0.20555531978607178, -0.737602710723877, -0.11228150129318237, -0.047096312046051025, 1.0, 0.34424102306365967, 0.2182624787092209, 0.0, -0.19570015370845795, 0.12531113624572754, -0.20282895863056183, 0.0, -0.22394828498363495, 0.0017907348228618503, 0.0, -0.10406661033630371, 0.022983158007264137, -0.0818178653717041, 1.2354800515979036e-09, -1.2895199574813887e-08]","[-0.46867960691452026, -1.0, -0.31764110922813416, -0.013306938111782074, -0.002487681806087494, -0.5204505324363708, 0.7280240654945374, 1.0, 0.5298512578010559]"
36,"[0.0, 0.0, -0.29524528980255127, -0.1986948847770691, -0.7433913946151733, -0.10072976350784302, -0.052204251289367676, 1.0, 0.43346893787384033, 0.21817131340503693, 0.0, -0.19337454438209534, 0.12356700748205185, -0.19491027295589447, 0.0, -0.17095927894115448, 0.0015437069814652205, 0.0, -0.09576380252838135, 0.023236827924847603, -0.07928735017776489, 1.2445007246952855e-09, -1.289519069302969e-08]","[-0.5394719243049622, -1.0, -0.3310607075691223, -0.08756522834300995, -0.06177886575460434, -0.4871331453323364, 0.666448175907135, 1.0, 0.2531682252883911]"
37,"[0.0, 0.0, -0.30117714405059814, -0.1917857527732849, -0.7490656971931458, -0.08917981386184692, -0.05592864751815796, 1.0, 0.5214906930923462, 0.21781611442565918, 0.0, -0.20255546271800995, 0.1312996745109558, -0.19068142771720886, 0.0, -0.12515006959438324, 0.00018269244174007326, 0.0, -0.08678972721099854, 0.02157876081764698, -0.07554876804351807, 1.2535213977926674e-09, -1.2895136514146088e-08]","[-0.6140300035476685, -1.0, -0.26716798543930054, -0.3121705651283264, -0.2300647795200348, -0.4307912290096283, 0.6022995114326477, 1.0, 0.0009391754865646362]"
38,"[0.0, 0.0, -0.3073582649230957, -0.18417102098464966, -0.7548604011535645, -0.07764798402786255, -0.05843585729598999, 1.0, 0.6085395812988281, 0.21752522885799408, 0.0, -0.21487712860107422, 0.13964322209358215, -0.19713954627513885, 0.0, -0.08525101840496063, 0.0001234646188095212, 0.0, -0.07728981971740723, 0.018980594351887703, -0.07111334800720215, 1.2625416268008394e-09, -1.2895208456598084e-08]","[-0.6452968716621399, -1.0, -0.18814539909362793, -0.5319917798042297, -0.3393753170967102, -0.42389336228370667, 0.5466787219047546, 1.0, -0.2913135588169098]"
39,"[0.0, 0.0, -0.3135531544685364, -0.17703348398208618, -0.7610287666320801, -0.06723397970199585, -0.059876203536987305, 1.0, 0.6927752494812012, 0.21579106152057648, 0.0, -0.21446357667446136, 0.12246453016996384, -0.21037891507148743, 0.0, -0.048573028296232224, -3.928335718228482e-05, 0.0, -0.06776642799377441, 0.0163691658526659, -0.0658491849899292, 1.2715622998982212e-09, -1.2895118750577694e-08]","[-0.6765000820159912, -1.0, -0.15881143510341644, -0.4859824478626251, -0.32953739166259766, -0.5077208876609802, 0.47481057047843933, 1.0, -0.6313927173614502]"
40,"[0.0, 0.0, -0.3197444677352905, -0.17129778861999512, -0.7674905061721802, -0.05734097957611084, -0.060421526432037354, 0.999981164932251, 0.608303427696228, 0.20639586448669434, 0.0, -0.21367979049682617, 0.0947345718741417, -0.22204068303108215, 0.0, -0.017849845811724663, -8.59699648572132e-05, 0.0, -0.05845165252685547, 0.014385426416993141, -0.059578657150268555, 1.2805826399286957e-09, -1.2895153389536063e-08]","[-0.7666882276535034, -1.0, -0.042708657681941986, -0.6158819794654846, -0.4041409194469452, -0.8236417770385742, 0.458074152469635, 1.0, -0.6355342268943787]"
41,"[0.0, 0.0, -0.32593727111816406, -0.16790306568145752, -0.774381160736084, -0.04694849252700806, -0.060137391090393066, 0.9999797344207764, 0.5202836990356445, 0.16890758275985718, 0.0, -0.2136240452528, 0.046774972230196, -0.236948162317276, 0.0, 0.010162058286368847, -8.037396764848381e-05, 0.0, -0.04964399337768555, 0.01320158876478672, -0.052286505699157715, 1.2896030909814726e-09, -1.2895224443809639e-08]","[-0.7782250046730042, -1.0, 0.20009183883666992, -0.8258426785469055, -0.5068413615226746, -1.0, 0.4663485586643219, 1.0, -0.6240776777267456]"
42,"[0.0, 0.0, -0.33212810754776, -0.16756129264831543, -0.7818248867988586, -0.036302268505096436, -0.059044718742370605, 1.0, 0.4289076328277588, 0.12319331616163254, 0.0, -0.21387556195259094, -0.009816206060349941, -0.25762510299682617, 0.0, 0.03757859021425247, -6.051486707292497e-05, 0.0, -0.0415959358215332, 0.01254160888493061, -0.04386460781097412, 1.2986237640788545e-09, -1.2895165824033938e-08]","[-0.9111231565475464, -1.0, 0.6197419762611389, -1.0, -0.7194452881813049, -1.0, 0.3801780641078949, 1.0, -0.6292334794998169]"
43,"[0.0, 0.0, -0.33832913637161255, -0.1706334352493286, -0.7892835736274719, -0.02527076005935669, -0.0573277473449707, 1.0, 0.33415651321411133, 0.06974326819181442, 0.0, -0.21435241401195526, -0.07351616024971008, -0.2609180808067322, 0.0, 0.05878506973385811, -4.2233132262481377e-05, 0.0, -0.03442883491516113, 0.012369276955723763, -0.03410542011260986, 1.3076445481985388e-09, -1.2895204903884405e-08]","[-0.9978265762329102, -1.0, 1.0, -1.0, -0.8469936847686768, -1.0, 0.3036171495914459, 1.0, -0.6781344413757324]"
44,"[0.0, 0.0, -0.3383587598800659, -0.17971909046173096, -0.7975749969482422, -0.01357424259185791, -0.05162787437438965, 0.9998847246170044, 0.24580740928649902, -0.03239528462290764, 0.0, 0.1779281347990036, -0.1595199555158615, -0.24383719265460968, 0.0, 0.2587892711162567, -0.02004813961684704, 0.0, -0.03555309772491455, 0.014306502416729927, -0.03224515914916992, 0.0, 0.025963351130485535]","[-0.48303675651550293, -1.0, -1.0, 0.1540999561548233, 1.0, -1.0, 0.7606598138809204, -1.0, -1.0]"
45,"[0.0, 0.0, -0.33493953943252563, -0.18651074171066284, -0.8032844662666321, -0.01376497745513916, -0.048328518867492676, 0.9107513427734375, 0.13794851303100586, -0.007080073934048414, 0.0, 0.06530983000993729, -0.10026443004608154, -0.061604082584381104, 0.0, -0.2445826530456543, 0.025435715913772583, 0.0, -0.03891801834106445, 0.010943273082375526, -0.03388047218322754, 2.7244186640018597e-06, 0.010511405766010284]","[-0.5320900678634644, -1.0, 0.6734191179275513, -1.0, -0.5952727794647217, -1.0, 1.0, -0.6466097235679626, -1.0]"
46,"[0.0, 0.0, -0.3350849747657776, -0.19484484195709229, -0.8107283115386963, -0.0025787949562072754, -0.043400347232818604, 0.8205152750015259, 0.04873394966125488, -0.02880326844751835, 0.0, 0.022698847576975822, -0.17159095406532288, -0.26100045442581177, 0.0, 0.16766594350337982, 0.019379761070013046, 0.0, -0.04036366939544678, 0.012260394170880318, -0.03240847587585449, 6.464093530667014e-06, 3.01801337627694e-05]","[-0.8832838535308838, -1.0, 0.13875111937522888, -0.46020835638046265, 0.40137597918510437, -1.0, 0.5361692309379578, -0.42943283915519714, -1.0]"
